lemma,frequency,rank
Gombapörkölt,5,792
masni,5,793
Csevapcsicsa,5,794
Szárazbabfőzelék,5,795
húsmentes,5,796
étel,5,797
gombapaprikás,5,798
tojásleves,5,799
Marhapörköl,5,800
csirkecomb-,5,801
Piedone,5,802
Meggyszósz,5,803
sertésjava,5,804
sajttal-sonka,5,805
párol,5,806
hekktörzs,5,807
Székely,5,808
kefíres,5,809
csevap,5,810
tarhonyaleves,5,811
Kemencé,5,812
690.-,5,813
hawaii,5,814
polenta,5,815
májrizottó,5,816
Kelkáposztafőzelék,5,817
Frédi,5,818
darab,5,819
csipedet,5,820
sali,5,821
póréhagymás,5,822
olaszos,5,823
csirkeapró,5,824
meggyes,5,825
Birkapörkölt,5,826
serpenyő,5,827
Csikóstokány,5,828
Li,5,829
Őszibarackos,5,830
befőt,5,831
pesztós,5,832
répás,5,833
pite,5,834
Marhalábszár,5,835
tócsik,5,836
Narancsos,5,837
szárny,5,838
R.,5,839
barnamártás,5,840
tör,5,841
Juhászbojtár,5,842
csirkefalat,5,843
borsmártás,5,844
coleslaw,5,845
sertésbatyu,5,846
vaníliás,5,847
Csabai,5,848
lencse,5,849
édes-savanyú,5,850
+1,5,851
borsós,5,852
Eszterházy,5,853
dubary,5,854
Tojásleves,4,855
Májgombócleves,4,856
Tarhonyás,4,857
Daragaluska,4,858
Rizsfelfújt,4,859
Májgaluska,4,860
Almaleves,4,861
szaggatott,4,862
Diós,4,863
birkapörkölt,4,864
gresli,4,865
Túró,4,866
Csirkepaprikás,4,867
Borjúpörkölt,4,868
Belsőségleves,4,869
otthon,4,870
Kertészleves,4,871
Pontyhalászlé,4,872
Pulled,4,873
pork,4,874
libaragu,4,875
Tejbegríz,4,876
Lencse,4,877
vasalt,4,878
főttburgonyá,4,879
Marhahúsleves,4,880
cérnácska,4,881
os,4,882
somlói,4,883
mandula,4,884
2190.,4,885
sodó,4,886
aprólékleves,4,887
pudingos,4,888
Hamburger,4,889
lazac,4,890
őszi,4,891
görögsaláta,4,892
variáció,4,893
tzatziki,4,894
mentás,4,895
palócleves,4,896
pljeskavica,4,897
Bazsalikomos,4,898
Ponty,4,899
mogyoróburgonya,4,900
korhelyleves,4,901
sárgaborsó,4,902
Édesburgonya,4,903
császármorzsa,4,904
Sertéspaprikás,4,905
liba,4,906
Kolozsvári,4,907
túró,4,908
libaraguleves,4,909
bogrács,4,910
Körmös,4,911
Halpaprikás,4,912
piszkefőzelék,4,913
káposztaleves,4,914
Karaláb,4,915
pulykasül,4,916
Thai,4,917
vitamin,4,918
sertéstekercs,4,919
mustár,4,920
forró,4,921
leves-,4,922
forgatott,4,923
Tejfeles,4,924
Póréhagyma,4,925
Borsófőzelék,4,926
pulykatokány,4,927
zúzapörkölt,4,928
gombamártás,4,929
cornflakes,4,930
Főnök,4,931
