dish_name,score,lemmas
dish_name,count,dish_name
"Rántott tengeri halfilé, petrezselymes burgonya",14,"rántott tengeri halfilé , petrezselymes burgonya"
Csirkepaprikás nokedlivel,14,Csirkepaprikás nokedli
Szemes bableves - gyümölcsleves,14,szemes bableves - gyümölcsleves
Tökfőzelék pörkölttel,14,Tökfőzelék pörkölt
Babgulyás + tiramisu,14,Babgulyás + tiramisu
Leves + garnélás - tejszínes spagetti,14,Leves + garnélás - tejszínes spagetti
"Szezámmagos rántott sertés szelet, vegyes köret, saláta",14,"szezámmagos rántott sertés szél , vegyes köret , saláta"
"Édes - savanyú csirke, rizs",14,"édes - savanyú csirke , rizs"
Tejfölös gombaleves - csontleves cérnametélttel,14,Tejfölös gombaleves - csontleves cérnametélt
Borjúpörkölt tésztával,14,Borjúpörkölt tészta
Burgonyás tészta,14,Burgonyás tészta
Szilvalekváros derelye,14,Szilvalekváros derely
Vargabéles,14,Vargabéles
"Sült oldalas, törtburgonya",14,"sült oldalas , törtburgonya"
Magyaros zöldbableves - gyümölcsleves,14,magyaros zöldbableves - gyümölcsleves
Belsőségleves - gyümölcsleves,14,Belsőségleves - gyümölcsleves
Zeller krémleves - csontleves cérnametélttel,14,Zeller krémleves - csontleves cérnametélt
Tejfölös zöldbableves,14,Tejfölös zöldbableves
"Sertéspörkölt tésztával, saláta",14,"Sertéspörkölt tészta , saláta"
Korhely leves,13,Korhely leves
Babgulyás leves – tyúkhúsleves tésztával,13,Babgulyás leves – tyúkhúsleves tészta
Hortobágyi húsos palacsinta,13,hortobágyi húsos palacsinta
Korhelyleves - gyümölcsleves,13,Korhelyleves - gyümölcsleves
"Tökfőzelék, fasírozott",13,"Tökfőzelék , fasírozott"
"Zöldbabfőzelék, fasírozott",13,"zöldbabfőzelék , fasírozott"
"Sertéskaraj ""otthon"" módra rizzsel",13,"Sertéskaraj "" otthon "" mód rizzs"
Rizskók lekvárral,13,Rizskók lekvár
Kertészleves,13,Kertészleves
Túrós tészta,13,Túrós tészta
"Finomfőzelék, sült csirkecomb, palacsinta",13,"Finomfőzelék , sült csirkecomb , palacsinta"
"Zöldborsófőzelék, sült csirkecomb, palacsinta",13,"Zöldborsófőzelék , sült csirkecomb , palacsinta"
"Birkapörkölt, főttburgonya",13,"birkapörköl , főttburgonya"
Falusi csirkeleves daragaluskával,13,falusi csirkeleves daragaluska
"Mexikói sertés tokány galuskával, saláta",13,"mexikói sertés tokány galuska , saláta"
Sertéskaraj vadasan tésztával,13,Sertéskaraj vadas tészta
Szalagos fánk lekvárral,13,szalagos fánk lekvár
Grízgombócleves,13,Grízgombócleves
"Rántott sertésmáj, petrezselymes burgonya",13,"rántott sertésmáj , petrezselymes burgonya"
"Birkapörkölt, sós burgonya, saláta",13,"birkapörkölt , sós burgonya , saláta"
Tökfőzelék vagdalttal,13,Tökfőzelék vagdalt
Gombapaprikás tésztával,13,Gombapaprikás tészta
"Rántott halrúd, kukoricás rizs",13,"rántott halrúd , kukoricás rizs"
"Rántott csirkemell, párolt zöldség, rizs",13,"rántott csirkemell , párolt zöldség , rizs"
"Magvas rántott szelet, kukoricás rizs",13,"Magvas ránt szél , kukoricás rizs"
"Lecsós csirkemáj, rizzsel",13,"Lecsós csirkemáj , rizz"
"Rántott jérce, rizibizi",13,"rántott jérce , rizibizi"
"Kelkáposzta főzelék, fokhagymás sertéssült",13,"Kelkáposzta főzelék , fokhagymás sertéssül"
"Pásztor tarhonya, savanyúság",13,"Pásztor tarhony , savanyúság"
"Fokhagyma krémleves, zsemlekocka",13,"Fokhagyma krémleves , zsemlekocka"
"Almaszósz, Párizsi szelettel",13,"Almaszósz , Párizsi szelet"
"Csőben sült brokkolis csirkemell, rizs",13,"cső sült brokkolis csirkemell , rizs"
Minestrone leves,13,Minestrone leves
Tojásos tészta,13,tojásos tészta
"Holstein szelet, rizibizi",12,"Holstein szél , rizibizi"
"Zöldborsófőzelék, göngyölt hússal",12,"Zöldborsófőzelék , göngyölt hús"
"Prézlis tészta, baracklekvár",12,"prézlis tészta , baracklekvár"
Marhapörkölt tésztával,12,Marhapörkölt tészta
Pacalpörkölt sósburgonyával,12,Pacalpörkölt sósburgonya
Kelkáposzta főzelék pörkölttel,12,Kelkáposzta főzelék pörkölt
Paradicsomos káposzta sült oldalassal,12,Paradicsomos káposzta sült oldalas
"Chilis bab, rizs",12,"Chilis bab , rizs"
Borsostokány tésztával,12,Borsostokány tészta
"Borsmártásos karaj, burgonya",12,"borsmártásos karaj , burgonya"
"Rántott sajt, sültburgonya, tartár",12,"rántott sajt , sültburgonya , tartár"
"Fokhagymás tokány, tészta",12,"Fokhagymás tokány , tészta"
Babgulyás - raguleves,12,Babgulyás - raguleves
Pontyhalászlé túrós csusza,12,Pontyhalászlé túrós csusza
"Székelykáposzta, palacsinta",12,"Székelykáposzta , palacsinta"
"Bácskai rizseshús, saláta",12,"Bácskai rizseshús , saláta"
Magyaros zöldségleves,12,magyaros zöldségleves
Pulled pork tál,12,Pulled pork tál
"Mustáros sertésapró, tészta",12,"mustáros sertésapró , tészta"
"Szemes babfőzelék, sertéspörkölt",12,"szemes babfőzelék , sertéspörkölt"
"Lecsós sertés szelet, rizs",12,"Lecsós sertés szél , rizs"
Húsos tészta,12,húsos tészta
Káposztás kocka,12,Káposztás kocka
Fahéjas almaleves,12,fahéjas almaleves
Frankfurti leves - gyümölcsleves,12,frankfurti leves - gyümölcsleves
"Paradicsomos káposzta, sült hús",12,"Paradicsomos káposzta , sült hús"
Szárnyas aprólék leves,12,Szárnyas aprólék leves
"Pankó morzsás rántott szelet, kukoricás rizs",12,"Pankó morzsás rántott szél , kukoricás rizs"
"Cordon Bleu, sültburgonya",12,"Cordon Bleu , sültburgonya"
"Rablóhús, sültburgonya",12,"Rablóhús , sültburgonya"
"Rántott halrúd, rizibizi",12,"rántott halrúd , rizibizi"
Brokkoli krémleves - gyümölcsleves,11,brokkoli krémleves - gyümölcsleves
Babgulyás leves – tárkonyos sertés raguleves,11,Babgulyás leves – tárkonyos sertés raguleves
Csirkepaprikás tésztával,11,csirkepaprikás tészta
Halászlé,11,Halászlé
Csirkehúsleves,11,Csirkehúsleves
Tárkonyos libaragu leves,11,tárkonyos libaragu leves
"Rántott velő, burgonyapüré",11,"rántott velő , burgonyapüré"
Tejfölös karfiolleves,11,Tejfölös karfiolleves
"Sonkával töltött rántott sajt, püré",11,"Sonka tölt rántott sajt , püré"
Tejbegríz,11,Tejbegríz
Zeller krémleves,11,Zeller krémleves
Csontleves tésztával,11,Csontleves tészta
Hamis gulyás leves,11,hamis gulyás leves
"Krumplifőzelék, fasírozott",11,"Krumplifőzelék , fasírozott"
"Kofapecsenye, tarhonya",11,"kofapecsenye , tarhony"
"Magyaros sertésmáj, törtburgonya, savanyúság",11,"magyaros sertésmáj , törtburgonya , savanyúság"
"Rántott szelet, petrezselymes burgonya",11,"rántott szél , petrezselymes burgonya"
"Csongrádi tekercs, rizibizi",11,"csongrádi tekercs , rizibizi"
Hamis gulyás,11,hamis gulyás
